"filename", "language", "PHP", "MS SQL", "XML", "JavaScript", "Markdown", "CSS", "JSON", "YAML", "HTML", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\favoritos.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102, 284
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\filtros-empleos.php", "PHP", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 193
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\habilidades-usuario.php", "PHP", 620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123, 744
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\habilidades.php", "PHP", 625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 125, 751
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\inbox.php", "PHP", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 264
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\index.php", "PHP", 461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 114, 581
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\js\RecordatorioInicio.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 33
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\js\subidaImagen.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\perfil-candidato.php", "PHP", 727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 185, 918
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\perfil.php", "PHP", 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 172, 1122
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\phpmailer\Exception.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 40
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\phpmailer\PHPMailer.php", "PHP", 2668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1803, 370, 4841
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\phpmailer\SMTP.php", "PHP", 699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 589, 139, 1427
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\plantilla.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\politicas-plataforma.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\postulaciones.php", "PHP", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94, 274
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\referencia-trabajo.php", "PHP", 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95, 374
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\referencia.php", "PHP", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93, 437
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\Instrucciones.php", "PHP", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 172
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\MenuLeft.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 196
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\MenuRight.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\footer - copia (2).php", "PHP", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 164
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\footer - copia.php", "PHP", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 164
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\footer.php", "PHP", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 230
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\head.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\header.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 120
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\script.php", "PHP", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48, 169
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\styles.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\templates\validar-perfil.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Empresa\Modelos\ModelosCargos\bucarcargos.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 60
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Empresa\Modelos\ModelosCargos\buscarcargos2.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 49
